,enrollment_id,username,course_id,no_of_objects123,bno_access123,bno_pageclose123,bno_problem123,bno_video123,bno_discussion123,bno_navigate123,bno_wiki123,bno_total123,bno_avg123,no_of_active_days123,time_consumption123,browser_access123,browser_pageclose123,browser_problem123,browser_video123,server_access123,server_discussion123,server_problem123,server_navigate123,server_wiki123,bno_browser123,bno_server123,label
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,69,51,20,83,9,21,11,0,195,27.857142857142858,7,-11438230.0,22,20,82,9,29,21,1,11,0,133,62,0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,68,147,63,112,47,20,22,0,411,58.714285714285715,7,0.0,72,63,90,47,75,20,22,22,0,272,139,0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,69,180,50,76,65,33,16,0,420,60.0,7,0.0,114,50,65,65,66,33,11,16,0,294,126,1
3,22,dPBUV0FPFjTZZK079rPAeq0WXhW4DUkF,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,49,66,38,64,36,0,1,0,205,29.285714285714285,2,0.0,26,38,56,36,40,0,8,1,0,156,49,1
4,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,79,211,70,108,54,35,23,0,501,71.57142857142857,10,0.0,104,70,92,54,107,35,16,23,0,320,181,0
5,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,84,259,127,58,42,1098,125,0,1709,244.14285714285714,21,0.0,58,127,29,42,201,1098,29,125,0,256,1453,0
6,50,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,24,49,22,48,0,0,7,0,126,18.0,6,0.0,19,22,43,0,30,0,5,7,0,84,42,1
7,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,95,228,82,139,32,40,47,2,570,81.42857142857143,15,0.0,66,82,126,32,162,40,13,47,2,306,264,0
8,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,31,65,28,34,22,1,6,0,156,22.285714285714285,6,0.0,29,28,29,22,36,1,5,6,0,108,48,1
9,134,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,28,20,9,24,8,0,10,0,71,10.142857142857142,2,0.0,9,9,24,8,11,0,0,10,0,50,21,1
