,enrollment_id,username,course_id,no_of_objects12,bno_access12,bno_pageclose12,bno_problem12,bno_video12,bno_discussion12,bno_navigate12,bno_wiki12,bno_total12,bno_avg12,no_of_active_days12,time_consumption12,browser_access12,browser_pageclose12,browser_problem12,browser_video12,server_access12,server_discussion12,server_problem12,server_navigate12,server_wiki12,bno_browser12,bno_server12,label
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,46,36,14,55,5,0,9,0,119,17.0,5,-1759501.0,16,14,55,5,20,0,0,9,0,90,29,0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,68,143,61,112,47,20,20,0,403,57.57142857142857,6,0.0,71,61,90,47,72,20,22,20,0,269,134,0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,39,108,34,48,31,18,13,0,252,36.0,4,0.0,63,34,42,31,45,18,6,13,0,170,82,1
3,22,dPBUV0FPFjTZZK079rPAeq0WXhW4DUkF,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,49,66,38,64,36,0,1,0,205,29.285714285714285,2,0.0,26,38,56,36,40,0,8,1,0,156,49,1
4,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34,57,21,35,18,8,10,0,149,21.285714285714285,4,0.0,30,21,33,18,27,8,2,10,0,102,47,0
5,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,75,207,101,58,30,877,94,0,1367,195.28571428571428,14,0.0,46,101,29,30,161,877,29,94,0,206,1161,0
6,50,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,20,40,18,28,0,0,6,0,92,13.142857142857142,5,0.0,15,18,26,0,25,0,2,6,0,59,33,1
7,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,63,158,58,103,16,40,37,2,414,59.142857142857146,10,0.0,50,58,95,16,108,40,8,37,2,219,195,0
8,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,31,60,25,34,22,1,5,0,147,21.0,5,0.0,28,25,29,22,32,1,5,5,0,104,43,1
9,134,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,28,20,9,24,8,0,10,0,71,10.142857142857142,2,0.0,9,9,24,8,11,0,0,10,0,50,21,1
