,enrollment_id,username,course_id,no_of_objects1,bno_access1,bno_pageclose1,bno_problem1,bno_video1,bno_discussion1,bno_navigate1,bno_wiki1,bno_total1,bno_avg1,no_of_active_days1,time_consumption1,browser_access1,browser_pageclose1,browser_problem1,browser_video1,server_access1,server_discussion1,server_problem1,server_navigate1,server_wiki1,bno_browser1,bno_server1,label
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,13,9,2,14,1,0,5,0,31,4.428571428571429,2,-1759501.0,4,2,14,1,5,0,0,5,0,21,10,0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34,53,20,45,13,5,11,0,147,21.0,2,0.0,28,20,37,13,25,5,8,11,0,98,49,0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,30,59,20,34,22,0,10,0,145,20.714285714285715,2,0.0,33,20,31,22,26,0,3,10,0,106,39,1
3,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,3,2,1,0,0,0,1,0,4,0.5714285714285714,1,0.0,0,1,0,0,2,0,0,1,0,1,3,0
4,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,28,102,52,16,15,504,62,0,751,107.28571428571429,7,0.0,17,52,8,15,85,504,8,62,0,92,659,0
5,50,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,9,11,3,6,0,0,3,0,23,3.2857142857142856,2,0.0,4,3,6,0,7,0,0,3,0,13,10,1
6,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,37,85,25,45,8,19,19,2,203,29.0,5,0.0,35,25,41,8,50,19,4,19,2,109,94,0
7,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,20,34,17,8,15,0,2,0,76,10.857142857142858,3,0.0,13,17,7,15,21,0,1,2,0,52,24,1
8,134,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,8,4,3,2,3,0,2,0,14,2.0,1,0.0,1,3,2,3,3,0,0,2,0,9,5,1
9,192,hCxbmPBmjgsEuMY36HnZH4x3BwWFnCUn,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,41,67,23,24,23,0,8,0,145,20.714285714285715,3,0.0,44,23,21,23,23,0,3,8,0,111,34,0
10,199,OEQBiRbbo3yEBzKSHcNX9ESBTSUy08ze,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34,56,15,54,10,21,21,4,181,25.857142857142858,2,0.0,40,15,46,10,16,21,8,21,4,111,70,0
11,219,088SASUPOVYUGhoEly8vlrkGvRBJoNwp,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,35,253,75,54,15,167,60,9,633,90.42857142857143,5,0.0,128,75,50,15,125,167,4,60,9,268,365,0
12,284,L9qMLlGWAeAI6zWAZIyJtn0wISNa3dxg,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,9,17,3,6,1,165,31,0,223,31.857142857142858,7,0.0,1,3,5,1,16,165,1,31,0,10,213,0
13,433,PEDnL2c66c2DN92O9BTVM9D6p19gGbT6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,14,12,6,8,5,1,5,1,38,5.428571428571429,2,0.0,4,6,7,5,8,1,1,5,1,22,16,0
14,493,xNkIHhqS8GZXIqyoWwwS3ZeYfSmUsNJo,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,31,59,16,54,18,0,2,0,149,21.285714285714285,3,0.0,26,16,44,18,33,0,10,2,0,104,45,0
15,777,bLIF0ETNcg7fjkutu8YBWJptM3zxtu2Z,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,7,8,3,2,3,6,7,0,29,4.142857142857143,4,0.0,3,3,2,3,5,6,0,7,0,11,18,0
16,780,anqtRE1JbVfWjk9aVYgpNXBcTCoFe9WO,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34,74,26,74,15,5,17,1,212,30.285714285714285,3,0.0,29,26,64,15,45,5,10,17,1,134,78,1
17,936,Z4uUjFPFbGNbmcg4E2opeBQCoO0nQyZe,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,17,41,19,0,6,4,9,0,79,11.285714285714286,3,0.0,16,19,0,6,25,4,0,9,0,41,38,1
18,937,uQjl8NGtIQkRfoe9edBiMgtYYmdkzVXR,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,3,3,1,0,0,0,2,0,6,0.8571428571428571,2,0.0,0,1,0,0,3,0,0,2,0,1,5,0
19,966,uVv1ioGVvP0A5CGQgSQhVTbH75lJRG4O,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,6,8,0,0,1,1,4,0,14,2.0,2,0.0,2,0,0,1,6,1,0,4,0,3,11,1
20,1030,uDdfaOyae5qLVYC8BQlj5xLhiV3is9wS,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,30,108,47,7,10,180,21,1,374,53.42857142857143,5,0.0,51,47,5,10,57,180,2,21,1,113,261,0
21,1090,9ct6Fth9rRpjZJrFIHs9xOnW9W5hBHw6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5,2,1,0,1,0,2,0,6,0.8571428571428571,1,0.0,0,1,0,1,2,0,0,2,0,2,4,1
22,1134,Q3zkClKdiEJIkoKspwBuSNOwYXuxalAX,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5,2,1,0,1,0,2,0,6,0.8571428571428571,1,0.0,0,1,0,1,2,0,0,2,0,2,4,1
23,1206,ymJGsoe3Y9XwSfD9UhxMG8gRl87RdPUe,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,10,20,10,8,7,0,3,0,48,6.857142857142857,2,0.0,5,10,7,7,15,0,1,3,0,29,19,1
