,enrollment_id,username,course_id,no_of_objects2,bno_access2,bno_pageclose2,bno_problem2,bno_video2,bno_discussion2,bno_navigate2,bno_wiki2,bno_total2,bno_avg2,no_of_active_days2,time_consumption2,browser_access2,browser_pageclose2,browser_problem2,browser_video2,server_access2,server_discussion2,server_problem2,server_navigate2,server_wiki2,bno_browser2,bno_server2,label
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,36,27,12,41,4,0,4,0,88,12.571428571428571,3,-2097946.0,12,12,41,4,15,0,0,4,0,69,19,0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,42,90,41,67,34,15,9,0,256,36.57142857142857,4,0.0,43,41,53,34,47,15,14,9,0,171,85,0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,17,49,14,14,9,18,3,0,107,15.285714285714286,2,0.0,30,14,11,9,19,18,3,3,0,64,43,1
3,22,dPBUV0FPFjTZZK079rPAeq0WXhW4DUkF,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,49,66,38,64,36,0,1,0,205,29.285714285714285,2,0.0,26,38,56,36,40,0,8,1,0,156,49,1
4,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34,55,20,35,18,8,9,0,145,20.714285714285715,3,0.0,30,20,33,18,25,8,2,9,0,101,44,0
5,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,58,105,49,42,15,373,32,0,616,88.0,7,0.0,29,49,21,15,76,373,21,32,0,114,502,0
6,50,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,14,29,15,22,0,0,3,0,69,9.857142857142858,3,0.0,11,15,20,0,18,0,2,3,0,46,23,1
7,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,35,73,33,58,8,21,18,0,211,30.142857142857142,5,0.0,15,33,54,8,58,21,4,18,0,110,101,0
8,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,20,26,8,26,7,1,3,0,71,10.142857142857142,2,0.0,15,8,22,7,11,1,4,3,0,52,19,1
9,134,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,26,16,6,22,5,0,8,0,57,8.142857142857142,1,0.0,8,6,22,5,8,0,0,8,0,41,16,1
