,enrollment_id,username,course_id,no_of_objects3,bno_access3,bno_pageclose3,bno_problem3,bno_video3,bno_discussion3,bno_navigate3,bno_wiki3,bno_total3,bno_avg3,no_of_active_days3,time_consumption3,browser_access3,browser_pageclose3,browser_problem3,browser_video3,server_access3,server_discussion3,server_problem3,server_navigate3,server_wiki3,bno_browser3,bno_server3,label
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,25,15,6,28,4,21,2,0,76,10.857142857142858,2,-12754870.0,6,6,27,4,9,21,1,2,0,43,33,0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5,4,2,0,0,0,2,0,8,1.1428571428571428,1,0.0,1,2,0,0,3,0,0,2,0,3,5,0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,38,72,16,28,34,15,3,0,168,24.0,3,0.0,51,16,23,34,21,15,5,3,0,124,44,1
3,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,50,154,49,73,36,27,13,0,352,50.285714285714285,6,0.0,74,49,59,36,80,27,14,13,0,218,134,0
4,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,23,52,26,0,12,221,31,0,342,48.857142857142854,7,0.0,12,26,0,12,40,221,0,31,0,50,292,0
5,50,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,9,9,4,20,0,0,1,0,34,4.857142857142857,1,0.0,4,4,17,0,5,0,3,1,0,25,9,1
6,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,35,70,24,36,16,0,10,0,156,22.285714285714285,5,0.0,16,24,31,16,54,0,5,10,0,87,69,0
7,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,5,5,3,0,0,0,1,0,9,1.2857142857142858,1,0.0,1,3,0,0,4,0,0,1,0,4,5,1
8,141,CB4JYroUtmiKv572P6g4vrvJCi6Pzr9h,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,31,51,21,53,19,20,21,0,185,26.428571428571427,4,0.0,29,21,45,19,22,20,8,21,0,114,71,1
9,192,hCxbmPBmjgsEuMY36HnZH4x3BwWFnCUn,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,32,37,14,4,15,0,21,0,91,13.0,5,0.0,20,14,4,15,17,0,0,21,0,53,38,0
10,199,OEQBiRbbo3yEBzKSHcNX9ESBTSUy08ze,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,42,97,41,54,26,88,14,1,321,45.857142857142854,5,0.0,42,41,44,26,55,88,10,14,1,153,168,0
11,219,088SASUPOVYUGhoEly8vlrkGvRBJoNwp,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,7,17,4,0,0,0,2,0,23,3.2857142857142856,1,0.0,8,4,0,0,9,0,0,2,0,12,11,0
12,255,O6WL6sxvoPCZnvTLyTPxdXbnpOz3wcJ4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,27,47,12,64,7,2,5,0,137,19.571428571428573,2,0.0,21,12,52,7,26,2,12,5,0,92,45,0
13,284,L9qMLlGWAeAI6zWAZIyJtn0wISNa3dxg,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,3,0,0,0,0,35,9,0,44,6.285714285714286,3,0.0,0,0,0,0,0,35,0,9,0,0,44,0
14,433,PEDnL2c66c2DN92O9BTVM9D6p19gGbT6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34,64,29,27,28,57,17,0,222,31.714285714285715,7,0.0,35,29,23,28,29,57,4,17,0,115,107,0
15,493,xNkIHhqS8GZXIqyoWwwS3ZeYfSmUsNJo,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,7,10,4,0,4,0,1,0,19,2.7142857142857144,3,0.0,1,4,0,4,9,0,0,1,0,9,10,0
16,630,BbZEGv8zMCuD8c0LXrenf9W1lGSlVd04,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,7,10,1,0,0,1,1,0,13,1.8571428571428572,1,0.0,0,1,0,0,10,1,0,1,0,1,12,1
17,777,bLIF0ETNcg7fjkutu8YBWJptM3zxtu2Z,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,37,83,27,58,34,16,18,0,236,33.714285714285715,4,0.0,53,27,53,34,30,16,5,18,0,167,69,0
18,780,anqtRE1JbVfWjk9aVYgpNXBcTCoFe9WO,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,47,79,31,0,29,11,17,3,170,24.285714285714285,4,0.0,41,31,0,29,38,11,0,17,3,101,69,1
